RMAID,OrderID,Step,Status,Reason
1,7,Product replacement or account refund processed,Complete,Defective
2,11,Product replacement or account refund processed,Complete,Incorrect
3,11,Product replacement or account refund processed,Complete,Incorrect
4,11,Product replacement or account refund processed,Complete,Order
5,11,Product replacement or account refund processed,Complete,Incorrect
6,11,Product replacement or account refund processed,Complete,Order
7,11,Product replacement or account refund processed,Complete,Defective
8,11,Product replacement or account refund processed,Complete,Incorrect
9,11,Product replacement or account refund processed,Complete,Order
10,11,Product replacement or account refund processed,Complete,Defective
11,11,Product replacement or account refund processed,Complete,Defective
12,21,Product replacement or account refund processed,Complete,Order
13,21,Product replacement or account refund processed,Complete,Incorrect
14,21,Product replacement or account refund processed,Complete,Incorrect
15,16,Product replacement or account refund processed,Complete,Incorrect
16,21,Product replacement or account refund processed,Complete,Order
17,21,Product replacement or account refund processed,Complete,Incorrect
18,21,Product replacement or account refund processed,Complete,Order
19,21,Product replacement or account refund processed,Complete,Incorrect
20,21,Product replacement or account refund processed,Complete,Incorrect
21,21,Product replacement or account refund processed,Complete,Defective
22,30,Product replacement or account refund processed,Complete,Incorrect
23,30,Product replacement or account refund processed,Complete,Incorrect
24,30,Product replacement or account refund processed,Complete,Defective
25,30,Product replacement or account refund processed,Complete,Defective
26,30,Product replacement or account refund processed,Complete,Incorrect
27,30,Product replacement or account refund processed,Complete,Incorrect
28,30,Product replacement or account refund processed,Complete,Rejected
29,30,Product replacement or account refund processed,Complete,Defective
30,30,Product replacement or account refund processed,Complete,Defective
31,33,Product replacement or account refund processed,Complete,Order
32,33,Product replacement or account refund processed,Complete,Order
33,35,Received returned equipment,Initiated,Incorrect
34,35,Product replacement or account refund processed,Complete,Incorrect
35,36,Product replacement or account refund processed,Complete,Incorrect
36,45,Received returned equipment,Initiated,Order
37,45,Product replacement or account refund processed,Complete,Order
38,45,Product replacement or account refund processed,Complete,Defective
39,45,Product replacement or account refund processed,Complete,Incorrect
40,45,Product replacement or account refund processed,Complete,Defective
41,45,Awaiting customer Documentation,Pending,Defective
42,45,Product replacement or account refund processed,Complete,Defective
43,45,Product replacement or account refund processed,Complete,Defective
44,45,Product replacement or account refund processed,Complete,Defective
45,45,Product replacement or account refund processed,Complete,Incorrect
46,53,Product replacement or account refund processed,Complete,Defective
47,53,Product replacement or account refund processed,Complete,Order
48,53,Product replacement or account refund processed,Complete,Order
49,53,Product replacement or account refund processed,Complete,Defective
50,53,Product replacement or account refund processed,Complete,Defective
51,53,Product replacement or account refund processed,Complete,Defective
52,53,Product replacement or account refund processed,Complete,Order
53,53,Product replacement or account refund processed,Complete,Incorrect
54,55,Product replacement or account refund processed,Complete,Incorrect
55,55,Product replacement or account refund processed,Complete,Defective
56,63,Product replacement or account refund processed,Complete,Incorrect
57,66,Product replacement or account refund processed,Complete,Incorrect
58,66,Product replacement or account refund processed,Complete,Order
59,66,Awaiting customer Documentation,Pending,Order
60,66,Product replacement or account refund processed,Complete,Defective
61,66,Product replacement or account refund processed,Complete,Defective
62,66,Product replacement or account refund processed,Complete,Defective
63,66,Received returned equipment,Initiated,Order
64,66,Product replacement or account refund processed,Complete,Defective
65,66,Product replacement or account refund processed,Complete,Defective
66,75,Product replacement or account refund processed,Complete,Defective
67,75,Product replacement or account refund processed,Complete,Order
68,75,Product replacement or account refund processed,Complete,Defective
69,75,Product replacement or account refund processed,Complete,Defective
70,75,Product replacement or account refund processed,Complete,Incorrect
71,80,Product replacement or account refund processed,Complete,Order
72,80,Product replacement or account refund processed,Complete,Incorrect
73,80,Product replacement or account refund processed,Complete,Incorrect
74,80,Product replacement or account refund processed,Complete,Incorrect
75,80,Received returned equipment,Initiated,Defective
76,80,Product replacement or account refund processed,Complete,Defective
77,80,Product replacement or account refund processed,Complete,Order
78,80,Product replacement or account refund processed,Complete,Defective
79,80,Product replacement or account refund processed,Complete,Incorrect
80,89,Received returned equipment,Initiated,Order
81,89,Awaiting customer Documentation,Pending,Incorrect
82,89,Product replacement or account refund processed,Complete,Order
83,89,Awaiting customer Documentation,Pending,Defective
84,89,Product replacement or account refund processed,Complete,Defective
85,90,Product replacement or account refund processed,Complete,Incorrect
86,93,Product replacement or account refund processed,Complete,Incorrect
87,89,Product replacement or account refund processed,Complete,Defective
88,90,Product replacement or account refund processed,Complete,Incorrect
89,98,Product replacement or account refund processed,Complete,Defective
90,98,Product replacement or account refund processed,Complete,Defective
91,98,Product replacement or account refund processed,Complete,Order
92,98,Product replacement or account refund processed,Complete,Incorrect
93,98,Awaiting customer Documentation,Pending,Defective
94,98,Product replacement or account refund processed,Complete,Defective
95,98,Product replacement or account refund processed,Complete,Incorrect
96,105,Product replacement or account refund processed,Complete,Defective
97,105,Product replacement or account refund processed,Complete,Defective
98,105,Product replacement or account refund processed,Complete,Order
99,105,Product replacement or account refund processed,Complete,Order
100,105,Product replacement or account refund processed,Complete,Order
101,110,Product replacement or account refund processed,Complete,Incorrect
102,110,Awaiting customer Documentation,Pending,Defective
103,110,Awaiting customer Documentation,Pending,Defective
104,110,Product replacement or account refund processed,Complete,Order
105,110,Product replacement or account refund processed,Complete,Defective
106,110,Product replacement or account refund processed,Complete,Defective
107,110,Product replacement or account refund processed,Complete,Defective
108,110,Product replacement or account refund processed,Complete,Order
109,110,Product replacement or account refund processed,Complete,Defective
110,110,Awaiting customer Documentation,Pending,Defective
111,117,Product replacement or account refund processed,Complete,Order
112,117,Product replacement or account refund processed,Complete,Incorrect
113,117,Product replacement or account refund processed,Complete,Defective
114,117,Product replacement or account refund processed,Complete,Defective
115,117,Product replacement or account refund processed,Complete,Order
116,117,Awaiting customer Documentation,Pending,Defective
117,117,Product replacement or account refund processed,Complete,Incorrect
118,119,Product replacement or account refund processed,Complete,Order
119,119,Product replacement or account refund processed,Complete,Defective
120,127,Product replacement or account refund processed,Complete,Order
121,123,Product replacement or account refund processed,Complete,Order
122,127,Product replacement or account refund processed,Complete,Defective
123,123,Product replacement or account refund processed,Complete,Incorrect
124,127,Product replacement or account refund processed,Complete,Defective
125,127,Product replacement or account refund processed,Complete,Order
126,131,Product replacement or account refund processed,Complete,Order
127,136,Product replacement or account refund processed,Complete,Order
128,136,Product replacement or account refund processed,Complete,Incorrect
129,136,Product replacement or account refund processed,Complete,Order
130,131,Awaiting customer Documentation,Pending,Defective
131,136,Product replacement or account refund processed,Complete,Incorrect
132,136,Product replacement or account refund processed,Complete,Incorrect
133,136,Product replacement or account refund processed,Complete,Order
134,138,Received returned equipment,Initiated,Order
135,136,Product replacement or account refund processed,Complete,Incorrect
136,145,Awaiting customer Documentation,Pending,Defective
137,145,Awaiting customer Documentation,Pending,Defective
138,145,Product replacement or account refund processed,Complete,Incorrect
139,145,Product replacement or account refund processed,Complete,Incorrect
140,146,Product replacement or account refund processed,Complete,Defective
141,150,Product replacement or account refund processed,Complete,Order
142,150,Product replacement or account refund processed,Complete,Incorrect
143,150,Product replacement or account refund processed,Complete,Incorrect
144,150,Product replacement or account refund processed,Complete,Order
145,150,Product replacement or account refund processed,Complete,Order
146,150,Awaiting customer Documentation,Pending,Defective
147,150,Product replacement or account refund processed,Complete,Incorrect
148,150,Product replacement or account refund processed,Complete,Defective
149,150,Product replacement or account refund processed,Complete,Order
150,150,Awaiting customer Documentation,Pending,Incorrect
151,155,Product replacement or account refund processed,Complete,Order
152,155,Product replacement or account refund processed,Complete,Incorrect
153,155,Product replacement or account refund processed,Complete,Order
154,155,Product replacement or account refund processed,Complete,Defective
155,155,Product replacement or account refund processed,Complete,Order
156,158,Awaiting customer Documentation,Pending,Order
157,158,Product replacement or account refund processed,Complete,Incorrect
158,158,Received returned equipment,Initiated,Defective
159,168,Product replacement or account refund processed,Complete,Defective
160,168,Received returned equipment,Initiated,Defective
161,168,Product replacement or account refund processed,Complete,Incorrect
162,171,Product replacement or account refund processed,Complete,Defective
163,171,Product replacement or account refund processed,Complete,Order
